id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
83568,Beautiful stylish Prenzlauer Berg rooftop apt.,455670,Olaf,Pankow,Helmholtzplatz,52.54484867,13.4189099,Entire home/apt,70,3,2,1.54,1,139
83614,"Spacious & Elegant Flat, 2 bathrooms, full kitchen",456085,Louis,Pankow,Helmholtzplatz,52.54621994,13.41785749,Entire home/apt,92,1,265,2.86,2,323
85560,Apartment 1 in Berlin,451311,Ruth,Mitte,Brunnenstr. Süd,52.53181501,13.38229897,Entire home/apt,75,3,47,1.09,3,328
86514,"Sunny room, Kreuzberg ",464827,Hayley,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49820825,13.44177879,Private room,80,2,44,0.48,1,365
87549,Independent room in green Kreuzberg,81113,Carol,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49615556,13.37397437,Private room,48,2,167,1.82,1,336
89102,Bright loft in the Kastanienallee,485838,Michele,Pankow,Prenzlauer Berg Südwest,52.54052906,13.4099496,Entire home/apt,114,10,57,0.63,4,109
91290,Gardenside flat for 2-3 guests,382397,Josep,Neukölln,Reuterstraße,52.49003806,13.42619064,Entire home/apt,60,2,44,0.48,1,2
102882,STORAGE APARTMENT URBAN,86173,Sebastian,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48878301,13.42195632,Entire home/apt,506,3,112,1.24,2,0
106290,GREAT apartment in BERLIN-KREUZBERG,542540,Bart,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49727118,13.43176773,Entire home/apt,50,1,154,1.69,1,315
106331,Beautiful flat in Prenzlauer Berg,551159,Lauri,Pankow,Prenzlauer Berg Süd,52.53370315,13.43669904,Entire home/apt,82,60,91,1,2,319
107968,"Gästeapartment Berlin- Schöneberg

",558933,Frank,Tempelhof - Schöneberg,Schöneberg-Nord,52.49854777,13.3429405,Entire home/apt,80,3,59,0.66,1,363
109658,Spacious Studio Apartment in Berlin,565578,Miriam,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52426457,13.45206718,Entire home/apt,60,3,68,0.77,1,236
111579,IN THE CENTER OF BERLIN.....,570951,S. Kjel,Mitte,Alexanderplatz,52.52720112,13.40952821,Entire home/apt,70,4,114,1.33,2,194
114763,In the heart of Berlin!,582007,Julia,Tempelhof - Schöneberg,Schöneberg-Süd,52.48805003,13.35325038,Entire home/apt,130,3,53,0.74,1,140
115576,Bed and Garden,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.58150269,13.39785818,Entire home/apt,69,2,3,0.05,1,344
116832,Clean & Spacious Kreuzberg Apt,590130,Oliver,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4909442,13.39619443,Entire home/apt,75,14,3,0.06,1,310
